name	aname
Main Press Line	Center For Disease Control And Prevention
John T. Burklow	National Institute of Mental Health
Julie Willmot	Mercer County Planning Division
William J Roth	Environmental Sanitation Division
Tom Fox	Environmental Services of Burlington County
Environmental coordinator	Middlesex County Public Health Department
Diane Bates	TCNJ
Joanne Billmers	TCNJ
Matthew Bender	TCNJ
Luke Butler	TCNJ
J Lynn Gazley	TCNJ
Leona A. Harris	TCNJ
Lisa Rodenburg	Rutgers
Peter Strom	Rutgers
Nicky Sheats	Thomas Edison State College
Knute Jensen	NJDEP
Andrea Holden	NJDEP
Brian Petitt	NJDEP
John Pitonyaj	NJDEP
Edward Reilly	NJDEP
Nancy Santiago	NJDEP
Fran Sgro	NJDEP
Hollie Ezze	NJDEP
Linda Cantwell	NJDEP
Marcedius Jameson	NJDEP
Lawrence Baier	NJDEP
Pete Keledy	NJDEP
Kamlo Si	NJDEP
Kelly Erbe	NJDEP
Thomas Morris	NJDEP
Ralph Bitter	NJDEP
Chris Odgers	NJDEP
Sharon McNellis-Kissel	Ewing Township City Council
Bob Martin	NJDEP
Martin Moore	NJDEP
James A Brownlee	The City Of Trenton Division Of Health
Amy Goldsmith	Clean Water Action
Terri Gabriel	Delaware Riverkeeper Network
Jeannette Rundquist	Star Ledger
Peggy McClone	Star Ledger
Matt Friedman	Star Ledger
Seth Augenstein	Star Ledger
Alexi Friedman	Star Ledger
Ben Horowitz	Star Ledger
Steve Strunsky	Star Ledger
Stacie Servetah Sherman	Statehouse News Bureau
Peter Montague	Environmental Research Foundation
